number,name,url,types,height_cm,weight_kg,next_evolutions,abilities
37,Vulpix,https://pokemondb.net/pokedex/vulpix,Fire,60.0 cm,9.9 kg,##0038 - Ninetales - https://pokemondb.net/pokedex/ninetales; ##0038 - Ninetales - https://pokemondb.net/pokedex/ninetales,"[{'name': 'Flash Fire', 'desc': 'Powers up if hit by fire.', 'effect': ""When a Pokémon with Flash Fire is hit by a Fire-type move, it does not deal damage but instead raises the power of the bearer's Fire-type moves by 50%. Subsequent hits do not raise the power even more, but the effect remains while the ability-bearer is in battle."", 'url': 'https://pokemondb.net/ability/flash-fire'}, {'name': 'Drought', 'desc': 'Summons sunlight in battle.', 'effect': 'Drought creates harsh sunlight when the ability-bearer enters battle. The effect lasts 5 turns, unless it is cleared via Air Lock or Cloud Nine or replaced by another weather condition.', 'url': 'https://pokemondb.net/ability/drought'}, {'name': 'Snow Cloak', 'desc': 'Raises evasion in a hailstorm.', 'effect': ""Snow Cloak raises ability-bearer's evasion by 20% in a hail storm. It also gives immunity to damage by hail (if they are not already protected by being Ice type)."", 'url': 'https://pokemondb.net/ability/snow-cloak'}, {'name': 'Snow Warning', 'desc': 'The Pokémon summons a hailstorm in battle.', 'effect': 'Snow Warning creates a hailstorm when the ability-bearer enters battle. The effect lasts 5 turns, unless it is cleared via Air Lock or Cloud Nine or replaced by another weather condition.', 'url': 'https://pokemondb.net/ability/snow-warning'}]"
38,Ninetales,https://pokemondb.net/pokedex/ninetales,Fire,110.0 cm,19.9 kg,##0037 - Vulpix - https://pokemondb.net/pokedex/vulpix,"[{'name': 'Flash Fire', 'desc': 'Powers up if hit by fire.', 'effect': ""When a Pokémon with Flash Fire is hit by a Fire-type move, it does not deal damage but instead raises the power of the bearer's Fire-type moves by 50%. Subsequent hits do not raise the power even more, but the effect remains while the ability-bearer is in battle."", 'url': 'https://pokemondb.net/ability/flash-fire'}, {'name': 'Drought', 'desc': 'Summons sunlight in battle.', 'effect': 'Drought creates harsh sunlight when the ability-bearer enters battle. The effect lasts 5 turns, unless it is cleared via Air Lock or Cloud Nine or replaced by another weather condition.', 'url': 'https://pokemondb.net/ability/drought'}, {'name': 'Snow Cloak', 'desc': 'Raises evasion in a hailstorm.', 'effect': ""Snow Cloak raises ability-bearer's evasion by 20% in a hail storm. It also gives immunity to damage by hail (if they are not already protected by being Ice type)."", 'url': 'https://pokemondb.net/ability/snow-cloak'}, {'name': 'Snow Warning', 'desc': 'The Pokémon summons a hailstorm in battle.', 'effect': 'Snow Warning creates a hailstorm when the ability-bearer enters battle. The effect lasts 5 turns, unless it is cleared via Air Lock or Cloud Nine or replaced by another weather condition.', 'url': 'https://pokemondb.net/ability/snow-warning'}]"
39,Jigglypuff,https://pokemondb.net/pokedex/jigglypuff,"Normal, Fairy",50.0 cm,5.5 kg,##0040 - Wigglytuff - https://pokemondb.net/pokedex/wigglytuff,"[{'name': 'Cute Charm', 'desc': 'Infatuates on contact.', 'effect': 'If a Pokémon with Cute Charm is hit by a move that makes contact, there is a 30% chance the attacker will become infatuated. It will not infatuate Pokémon of the same gender, genderless Pokémon, nor those with the ability Oblivious.', 'url': 'https://pokemondb.net/ability/cute-charm'}, {'name': 'Competitive', 'desc': 'Boosts the Sp. Atk stat when a stat is lowered.', 'effect': ""Competitive raises the ability-bearer's Special Attack by two stages when hit by a stat-lowering move."", 'url': 'https://pokemondb.net/ability/competitive'}, {'name': 'Friend Guard', 'desc': 'Reduces damage done to allies.', 'effect': 'Reduces damage done to allies.\n', 'url': 'https://pokemondb.net/ability/friend-guard'}]"
40,Wigglytuff,https://pokemondb.net/pokedex/wigglytuff,"Normal, Fairy",100.0 cm,12.0 kg,,"[{'name': 'Cute Charm', 'desc': 'Infatuates on contact.', 'effect': 'If a Pokémon with Cute Charm is hit by a move that makes contact, there is a 30% chance the attacker will become infatuated. It will not infatuate Pokémon of the same gender, genderless Pokémon, nor those with the ability Oblivious.', 'url': 'https://pokemondb.net/ability/cute-charm'}, {'name': 'Competitive', 'desc': 'Boosts the Sp. Atk stat when a stat is lowered.', 'effect': ""Competitive raises the ability-bearer's Special Attack by two stages when hit by a stat-lowering move."", 'url': 'https://pokemondb.net/ability/competitive'}, {'name': 'Frisk', 'desc': 'The Pokémon can check the foe’s held item.', 'effect': ""The Pokémon can check a foe's held item.\n"", 'url': 'https://pokemondb.net/ability/frisk'}]"
41,Zubat,https://pokemondb.net/pokedex/zubat,"Poison, Flying",80.0 cm,7.5 kg,##0042 - Golbat - https://pokemondb.net/pokedex/golbat; ##0169 - Crobat - https://pokemondb.net/pokedex/crobat,"[{'name': 'Inner Focus', 'desc': 'Prevents flinching.', 'effect': 'Inner Focus prevents the Pokémon from flinching, for example when attacked by a move like Headbutt.', 'url': 'https://pokemondb.net/ability/inner-focus'}, {'name': 'Infiltrator', 'desc': 'Passes through the foe’s barrier and strikes.', 'effect': 'Infiltrator ignores the effects of Reflect, Light Screen and Safeguard. In other words, if the opponent has used Safeguard, Toxic would still badly poison them.', 'url': 'https://pokemondb.net/ability/infiltrator'}]"
42,Golbat,https://pokemondb.net/pokedex/golbat,"Poison, Flying",160.0 cm,55.0 kg,##0169 - Crobat - https://pokemondb.net/pokedex/crobat,"[{'name': 'Inner Focus', 'desc': 'Prevents flinching.', 'effect': 'Inner Focus prevents the Pokémon from flinching, for example when attacked by a move like Headbutt.', 'url': 'https://pokemondb.net/ability/inner-focus'}, {'name': 'Infiltrator', 'desc': 'Passes through the foe’s barrier and strikes.', 'effect': 'Infiltrator ignores the effects of Reflect, Light Screen and Safeguard. In other words, if the opponent has used Safeguard, Toxic would still badly poison them.', 'url': 'https://pokemondb.net/ability/infiltrator'}]"
43,Oddish,https://pokemondb.net/pokedex/oddish,"Grass, Poison",50.0 cm,5.4 kg,##0044 - Gloom - https://pokemondb.net/pokedex/gloom; ##0045 - Vileplume - https://pokemondb.net/pokedex/vileplume; ##0182 - Bellossom - https://pokemondb.net/pokedex/bellossom,"[{'name': 'Chlorophyll', 'desc': 'Raises SPEED in sunshine.', 'effect': ""Chlorophyll doubles the ability-bearer's Speed during bright sunshine."", 'url': 'https://pokemondb.net/ability/chlorophyll'}, {'name': 'Run Away', 'desc': 'Makes escaping easier.', 'effect': 'Run Away allows the bearer to flee a battle with a wild Pokémon without fail, even if the opposing Pokémon has used a move like Mean Look or Bind, or has an ability such as Arena Trap.', 'url': 'https://pokemondb.net/ability/run-away'}]"
44,Gloom,https://pokemondb.net/pokedex/gloom,"Grass, Poison",80.0 cm,8.6 kg,##0045 - Vileplume - https://pokemondb.net/pokedex/vileplume; ##0182 - Bellossom - https://pokemondb.net/pokedex/bellossom,"[{'name': 'Chlorophyll', 'desc': 'Raises SPEED in sunshine.', 'effect': ""Chlorophyll doubles the ability-bearer's Speed during bright sunshine."", 'url': 'https://pokemondb.net/ability/chlorophyll'}, {'name': 'Stench', 'desc': 'Helps repel wild POKéMON.', 'effect': 'A Pokémon with Stench has a 10% chance of causing the opponent to flinch when hit by a damaging move (provided the ability-bearer strikes first as usual).', 'url': 'https://pokemondb.net/ability/stench'}]"
45,Vileplume,https://pokemondb.net/pokedex/vileplume,"Grass, Poison",120.0 cm,18.6 kg,##0182 - Bellossom - https://pokemondb.net/pokedex/bellossom,"[{'name': 'Chlorophyll', 'desc': 'Raises SPEED in sunshine.', 'effect': ""Chlorophyll doubles the ability-bearer's Speed during bright sunshine."", 'url': 'https://pokemondb.net/ability/chlorophyll'}, {'name': 'Effect Spore', 'desc': 'Leaves spores on contact.', 'effect': 'Contact may poison or cause paralysis or sleep.\n', 'url': 'https://pokemondb.net/ability/effect-spore'}]"
46,Paras,https://pokemondb.net/pokedex/paras,"Bug, Grass",30.0 cm,5.4 kg,##0047 - Parasect - https://pokemondb.net/pokedex/parasect,"[{'name': 'Effect Spore', 'desc': 'Leaves spores on contact.', 'effect': 'Contact may poison or cause paralysis or sleep.\n', 'url': 'https://pokemondb.net/ability/effect-spore'}, {'name': 'Dry Skin', 'desc': 'Reduces HP if it is hot. Water restores HP.', 'effect': 'Dry Skin causes several effects:', 'url': 'https://pokemondb.net/ability/dry-skin'}, {'name': 'Damp', 'desc': 'Prevents self-destruction.', 'effect': 'Damp prevents all Pokémon on the field from using the moves Selfdestruct and Explosion. It also prevents damage (to the Damp Pokémon only) from the ability Aftermath.', 'url': 'https://pokemondb.net/ability/damp'}]"
47,Parasect,https://pokemondb.net/pokedex/parasect,"Bug, Grass",100.0 cm,29.5 kg,,"[{'name': 'Effect Spore', 'desc': 'Leaves spores on contact.', 'effect': 'Contact may poison or cause paralysis or sleep.\n', 'url': 'https://pokemondb.net/ability/effect-spore'}, {'name': 'Dry Skin', 'desc': 'Reduces HP if it is hot. Water restores HP.', 'effect': 'Dry Skin causes several effects:', 'url': 'https://pokemondb.net/ability/dry-skin'}, {'name': 'Damp', 'desc': 'Prevents self-destruction.', 'effect': 'Damp prevents all Pokémon on the field from using the moves Selfdestruct and Explosion. It also prevents damage (to the Damp Pokémon only) from the ability Aftermath.', 'url': 'https://pokemondb.net/ability/damp'}]"
48,Venonat,https://pokemondb.net/pokedex/venonat,"Bug, Poison",100.0 cm,30.0 kg,##0049 - Venomoth - https://pokemondb.net/pokedex/venomoth,"[{'name': 'Compound Eyes', 'desc': 'Raises accuracy.', 'effect': ""Compound Eyes raises the ability-bearer's accuracy by 30%."", 'url': 'https://pokemondb.net/ability/compound-eyes'}, {'name': 'Tinted Lens', 'desc': 'Powers up “not very effective” moves.', 'effect': 'Powers up “not very effective” moves.\n', 'url': 'https://pokemondb.net/ability/tinted-lens'}, {'name': 'Run Away', 'desc': 'Makes escaping easier.', 'effect': 'Run Away allows the bearer to flee a battle with a wild Pokémon without fail, even if the opposing Pokémon has used a move like Mean Look or Bind, or has an ability such as Arena Trap.', 'url': 'https://pokemondb.net/ability/run-away'}]"
49,Venomoth,https://pokemondb.net/pokedex/venomoth,"Bug, Poison",150.0 cm,12.5 kg,,"[{'name': 'Shield Dust', 'desc': 'Prevents added effects.', 'effect': 'Blocks the added effects of attacks taken.\n', 'url': 'https://pokemondb.net/ability/shield-dust'}, {'name': 'Tinted Lens', 'desc': 'Powers up “not very effective” moves.', 'effect': 'Powers up “not very effective” moves.\n', 'url': 'https://pokemondb.net/ability/tinted-lens'}, {'name': 'Wonder Skin', 'desc': 'Makes status-changing moves more likely to miss.', 'effect': 'Wonder Skin halves the accuracy of all status moves targeted at the ability-bearer.', 'url': 'https://pokemondb.net/ability/wonder-skin'}]"
50,Diglett,https://pokemondb.net/pokedex/diglett,Ground,20.0 cm,0.8 kg,##0051 - Dugtrio - https://pokemondb.net/pokedex/dugtrio; ##0051 - Dugtrio - https://pokemondb.net/pokedex/dugtrio,"[{'name': 'Sand Veil', 'desc': 'Ups evasion in a sandstorm.', 'effect': ""Sand Veil raises the ability-bearer's evasion by 20% in a sandstorm. It also gives immunity to sandstorm damage (if they are not already protected by being Ground/Rock/Steel type)."", 'url': 'https://pokemondb.net/ability/sand-veil'}, {'name': 'Arena Trap', 'desc': 'Prevents fleeing.', 'effect': 'Arena Trap prevents opponents from fleeing or switching out. Raised Pokémon are not affected.', 'url': 'https://pokemondb.net/ability/arena-trap'}, {'name': 'Sand Force', 'desc': 'Boosts certain moves’ power in a sandstorm.', 'effect': 'Sand Force raises the power of Ground, Rock and Steel type moves by 30% during a sandstorm.', 'url': 'https://pokemondb.net/ability/sand-force'}, {'name': 'Tangling Hair', 'desc': 'Contact with the Pokémon lowers the attacker’s Speed stat.', 'effect': ""Contact with the Pokémon lowers the attacker's Speed stat.\n"", 'url': 'https://pokemondb.net/ability/tangling-hair'}]"
51,Dugtrio,https://pokemondb.net/pokedex/dugtrio,Ground,70.0 cm,33.3 kg,##0050 - Diglett - https://pokemondb.net/pokedex/diglett,"[{'name': 'Sand Veil', 'desc': 'Ups evasion in a sandstorm.', 'effect': ""Sand Veil raises the ability-bearer's evasion by 20% in a sandstorm. It also gives immunity to sandstorm damage (if they are not already protected by being Ground/Rock/Steel type)."", 'url': 'https://pokemondb.net/ability/sand-veil'}, {'name': 'Arena Trap', 'desc': 'Prevents fleeing.', 'effect': 'Arena Trap prevents opponents from fleeing or switching out. Raised Pokémon are not affected.', 'url': 'https://pokemondb.net/ability/arena-trap'}, {'name': 'Sand Force', 'desc': 'Boosts certain moves’ power in a sandstorm.', 'effect': 'Sand Force raises the power of Ground, Rock and Steel type moves by 30% during a sandstorm.', 'url': 'https://pokemondb.net/ability/sand-force'}, {'name': 'Tangling Hair', 'desc': 'Contact with the Pokémon lowers the attacker’s Speed stat.', 'effect': ""Contact with the Pokémon lowers the attacker's Speed stat.\n"", 'url': 'https://pokemondb.net/ability/tangling-hair'}]"
52,Meowth,https://pokemondb.net/pokedex/meowth,Normal,40.0 cm,4.2 kg,##0053 - Persian - https://pokemondb.net/pokedex/persian; ##0053 - Persian - https://pokemondb.net/pokedex/persian; ##0863 - Perrserker - https://pokemondb.net/pokedex/perrserker,"[{'name': 'Pickup', 'desc': 'May pick up items.', 'effect': 'When another Pokémon on the field uses a single-use held item, a Pokémon with Pickup will obtain the used item (if they are not already holding anything) and it can be used again.', 'url': 'https://pokemondb.net/ability/pickup'}, {'name': 'Technician', 'desc': 'Powers up the Pokémon’s weaker moves.', 'effect': 'Technician increases the power of moves - that are usually base power 60 or below - by 50%.', 'url': 'https://pokemondb.net/ability/technician'}, {'name': 'Unnerve', 'desc': 'Makes the foe nervous and unable to eat Berries.', 'effect': 'Makes the foe nervous and unable to eat Berries.\n', 'url': 'https://pokemondb.net/ability/unnerve'}, {'name': 'Rattled', 'desc': 'Some move types scare it and boost its Speed.', 'effect': 'When a Pokémon with Rattled is hit by a Bug, Ghost or Dark type move, its Speed is raised one stage (up to the usual maximum of +6 stages).', 'url': 'https://pokemondb.net/ability/rattled'}, {'name': 'Tough Claws', 'desc': 'Powers up moves that make direct contact.', 'effect': 'Tough Claws increases the power of moves that make contact.', 'url': 'https://pokemondb.net/ability/tough-claws'}]"
53,Persian,https://pokemondb.net/pokedex/persian,Normal,100.0 cm,32.0 kg,##0052 - Meowth - https://pokemondb.net/pokedex/meowth; ##0052 - Meowth - https://pokemondb.net/pokedex/meowth; ##0863 - Perrserker - https://pokemondb.net/pokedex/perrserker,"[{'name': 'Limber', 'desc': 'Prevents paralysis.', 'effect': 'The Pokémon is protected from paralysis.\n', 'url': 'https://pokemondb.net/ability/limber'}, {'name': 'Technician', 'desc': 'Powers up the Pokémon’s weaker moves.', 'effect': 'Technician increases the power of moves - that are usually base power 60 or below - by 50%.', 'url': 'https://pokemondb.net/ability/technician'}, {'name': 'Unnerve', 'desc': 'Makes the foe nervous and unable to eat Berries.', 'effect': 'Makes the foe nervous and unable to eat Berries.\n', 'url': 'https://pokemondb.net/ability/unnerve'}, {'name': 'Fur Coat', 'desc': 'Halves damage from physical moves.', 'effect': 'Fur Coat reduces damage taken from physical attacks by 50%.', 'url': 'https://pokemondb.net/ability/fur-coat'}, {'name': 'Rattled', 'desc': 'Some move types scare it and boost its Speed.', 'effect': 'When a Pokémon with Rattled is hit by a Bug, Ghost or Dark type move, its Speed is raised one stage (up to the usual maximum of +6 stages).', 'url': 'https://pokemondb.net/ability/rattled'}]"
54,Psyduck,https://pokemondb.net/pokedex/psyduck,Water,80.0 cm,19.6 kg,##0055 - Golduck - https://pokemondb.net/pokedex/golduck,"[{'name': 'Damp', 'desc': 'Prevents self-destruction.', 'effect': 'Damp prevents all Pokémon on the field from using the moves Selfdestruct and Explosion. It also prevents damage (to the Damp Pokémon only) from the ability Aftermath.', 'url': 'https://pokemondb.net/ability/damp'}, {'name': 'Cloud Nine', 'desc': 'Negates weather effects.', 'effect': 'Cloud Nine suppresses all effects brought on by weather, including move power increases, end-of-turn damage, accuracy changes, relevant abilities and so on.', 'url': 'https://pokemondb.net/ability/cloud-nine'}, {'name': 'Swift Swim', 'desc': 'Raises SPEED in rain.', 'effect': ""Swift Swim doubles the ability-bearer's Speed during rain."", 'url': 'https://pokemondb.net/ability/swift-swim'}]"
